Department,Month,Budget,Actual,Variance,Variance_pct
Customer Success,Aug-2024,76288.0,76324.0,36.0,0.0005
Customer Success,Sep-2024,142939.0,131398.0,-11541.0,-0.0807
Customer Success,Oct-2024,237254.0,227800.0,-9454.0,-0.0398
Customer Success,Nov-2024,88324.0,94814.0,6490.0,0.0735
Customer Success,Dec-2024,697211.0,664526.0,-32685.0,-0.0469
Finance,Jan-2024,204546.0,215530.0,10984.0,0.0537
Finance,Feb-2024,160450.0,150362.0,-10088.0,-0.0629
Finance,Mar-2024,217501.0,217821.0,320.0,0.0015
Finance,Apr-2024,242694.0,251248.0,8554.0,0.0352
Finance,May-2024,22781.0,24250.0,1469.0,0.0645
Finance,Jun-2024,124695.0,120788.0,-3907.0,-0.0313
Finance,Jul-2024,74922.0,71149.0,-3773.0,-0.0504
Finance,Aug-2024,439148.0,455838.0,16690.0,0.038
Finance,Sep-2024,171698.0,181263.0,9565.0,0.0557
Finance,Oct-2024,1107759.0,1077583.0,-30176.0,-0.0272
Finance,Nov-2024,137497.0,127502.0,-9995.0,-0.0727
Finance,Dec-2024,458038.0,494357.0,36319.0,0.0793
IT,Jan-2024,107335.0,116922.0,9587.0,0.0893
IT,Feb-2024,267622.0,290042.0,22420.0,0.0838
IT,Mar-2024,165729.0,167467.0,1738.0,0.0105
IT,Apr-2024,195575.0,209045.0,13470.0,0.0689
IT,May-2024,34520.0,32585.0,-1935.0,-0.0561
IT,Jun-2024,114751.0,110183.0,-4568.0,-0.0398
IT,Jul-2024,175143.0,181459.0,6316.0,0.0361
IT,Aug-2024,38190.0,40573.0,2383.0,0.0624
IT,Sep-2024,28305.0,30120.0,1815.0,0.0641
IT,Oct-2024,592649.0,582462.0,-10187.0,-0.0172
IT,Nov-2024,106995.0,114463.0,7468.0,0.0698
IT,Dec-2024,44481.0,47290.0,2809.0,0.0632
